"Column Name","Label"
"S1901_C03_013MA","Annotation of Married-couple families!!Margin of Error!!Mean income (dollars)"
"S1901_C03_013EA","Annotation of Married-couple families!!Estimate!!Mean income (dollars)"
"S1901_C04_013E","Nonfamily households!!Estimate!!Mean income (dollars)"
"S1901_C04_013M","Nonfamily households!!Margin of Error!!Mean income (dollars)"
"S1901_C04_013MA","Annotation of Nonfamily households!!Margin of Error!!Mean income (dollars)"
"S1901_C04_013EA","Annotation of Nonfamily households!!Estimate!!Mean income (dollars)"
"S1901_C01_014E","Households!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months"
"S1901_C01_014EA","Annotation of Households!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months"
"S1901_C01_014M","Households!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months"
"S1901_C01_014MA","Annotation of Households!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months"
"S1901_C02_014E","Families!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months"
"S1901_C02_014EA","Annotation of Families!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months"
"S1901_C02_014M","Families!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months"
"S1901_C02_014MA","Annotation of Families!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months"
"S1901_C03_014E","Married-couple families!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months"
"S1901_C03_014EA","Annotation of Married-couple families!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months"
"S1901_C03_014M","Married-couple families!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months"
"S1901_C03_014MA","Annotation of Married-couple families!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months"
"S1901_C04_014E","Nonfamily households!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months"
"S1901_C04_014M","Nonfamily households!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months"
"S1901_C04_014MA","Annotation of Nonfamily households!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months"
"S1901_C04_014EA","Annotation of Nonfamily households!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months"
"S1901_C01_015E","Households!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months"
"S1901_C01_015M","Households!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months"
"S1901_C01_015MA","Annotation of Households!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months"
"S1901_C01_015EA","Annotation of Households!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months"
"S1901_C02_015E","Families!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months"
"S1901_C02_015EA","Annotation of Families!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months"
"S1901_C02_015M","Families!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months"
"S1901_C02_015MA","Annotation of Families!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months"
"S1901_C03_015E","Married-couple families!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months"
"S1901_C03_015EA","Annotation of Married-couple families!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months"
