GEO_ID,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21
20141,34797,36489,38561,37925,38686,40216,41432,42173,48355,51286,50774,55551
20143,50814,53287,53497,58396,60098,52479,52241,51797,51971,54784,59607,57455
20145,40048,43676,44106,44078,40791,43250,46227,46224,42853,49917,46559,50988
20147,44381,43476,42838,43059,44292,44170,45940,46806,48272,50093,51820,53919
20149,53430,54309,56775,56854,60479,60216,62500,64410,64657,66835,70064,76089
20151,43583,42825,43880,46035,49519,49550,48995,53415,54029,52327,54644,57109
20153,39797,40625,40896,43482,43555,41579,49327,50893,48125,53207,57281,58590
20155,41431,42207,43649,43798,44673,45288,46000,47897,49174,49936,51520,53359
20157,38286,40538,41000,39572,40538,40449,41489,43489,48022,47976,50411,50268
20159,43164,46155,45703,45336,46342,48460,46335,48333,50764,53012,49688,56379
20161,39257,41427,43364,43962,44522,44437,46609,48428,49910,51208,51098,53296
20163,37861,40000,41123,42449,43816,43558,46750,48352,50511,49415,51362,55000
20165,39435,40036,41306,42610,40746,38854,40395,43594,40598,47981,46333,50714
20167,36135,38168,40551,37111,40369,41102,42656,48427,52806,44792,50630,52108
20169,45162,45635,47339,47215,47745,47801,48497,49728,50515,52200,51830,55175
20171,58341,58453,58520,50605,47079,51850,61886,62198,71394,65417,55625,46583
20173,47848,49451,49885,49865,50326,50657,51157,52841,54974,56524,57540,60593
20175,41373,44550,47731,50185,48621,47134,47507,47535,47025,49291,49395,51809
20177,47464,47701,47992,48451,49695,50378,52088,54667,55199,56762,58652,59848
20179,46739,46821,49125,48674,48750,49750,50822,56607,56071,62885,62105,68952
20181,41570,43012,42642,38634,38528,39029,47036,52030,52847,54754,57005,58830
20183,39836,42569,44798,45556,42174,43848,43913,45357,43438,43429,42098,48051
20185,39375,42006,43232,43292,44180,47377,46830,47121,48563,49375,51857,54188
20187,49612,49152,51823,46382,42146,43780,44567,42222,46726,52054,57741,60607
20189,50517,56019,56991,54494,57614,55433,54333,57500,56507,57806,59044,61267
20191,49582,48060,48105,47894,50310,50141,50950,52695,54915,55000,53578,54854
20193,47033,45125,48029,48187,48649,48504,52074,52465,57478,60124,68313,69844
20195,39655,42009,44063,45714,50670,54000,54630,55197,56810,57966,59420,78529
20197,52133,53292,55817,54694,55018,54688,57791,58947,60450,61178,65742,66589
20199,43953,46128,46932,47454,48125,47279,45804,60000,58875,63269,49632,56538
20201,39698,40469,42962,42515,42738,45159,47045,47992,48889,50588,52172,53491
20203,44318,50324,51098,53018,57266,57171,57596,55109,57566,57978,58299,63306
20205,39301,40069,40414,38917,38811,40306,43594,44468,46208,48341,49682,52514
20207,30385,31779,30852,33839,36863,35787,35321,36493,34621,39643,42692,45234
20209,38503,39812,39163,39402,39326,40113,40757,42783,44873,46881,48093,52366
21001,29834,31775,31169,32524,34490,33362,33873,36575,39346,38021,43026,46652
21003,35247,35357,36123,40008,40273,41326,41166,40598,40893,44036,44180,47495
21005,55506,52447,52294,52646,53410,53974,53513,51681,54160,55334,54413,59887
21007,41228,41875,41989,44588,42852,42244,43923,42988,44350,45048,45517,52695
21009,38374,38616,37587,38873,38885,38370,39034,39658,40216,41459,41674,44254
21011,30458,28776,29632,30797,33091,33483,34986,38763,40837,44898,44893,46375
21013,24724,25269,25952,26228,24976,22443,22603,23558,24628,26272,28442,32123
21015,66549,68087,67125,67225,67286,66730,69165,72731,75043,78327,82838,87034
21017,40849,42192,40894,40933,43521,45208,44232,47886,51462,49637,47024,53277
21019,38802,38848,39076,40379,41739,42319,44140,45543,46165,48308,51019,53077
21021,40720,41035,41037,41473,40853,39704,40758,43076,43274,46382,51562,54234
21023,38481,39643,38724,39196,40194,36327,35887,40458,45827,49158,60053,63277
21025,19906,22304,23049,24045,26094,25817,25484,25861,26376,27344,29538,32259
21027,37395,38325,39695,38907,40039,43479,43390,44057,48189,47190,47236,49919
21029,51526,51857,53922,54836,56199,55975,58702,59917,60534,63348,65531,67892
21031,33703,32508,36237,35430,34581,33536,38427,39362,40061,41763,45955,48355
21033,35289,37078,37778,37127,40135,42537,43491,46182,44940,44775,48281,48280
21035,39194,39316,39037,39677,38589,37034,36692,39269,40219,42273,41841,44534
21037,51482,53018,53580,54306,54482,54621,56772,57208,59782,63050,63152,65580
21039,33909,35699,37768,39049,39125,38829,40913,38860,39664,45109,41222,42386
21041,43440,42063,40938,40160,39668,41439,42882,43345,43258,43524,41014,42433
21043,32424,35637,35415,36406,37139,36696,37367,35095,33067,34736,39492,40092
21045,26592,27327,28416,29934,30051,32341,32315,33031,34457,34819,33004,37694
21047,37061,37958,37750,38904,38720,39521,40253,41849,41235,43919,44279,45913
21049,46575,45726,45486,45853,46554,47959,49069,51547,52938,54953,54871,59294
21051,20175,20206,22296,21883,22626,21549,22174,24596,26250,26840,27479,33399
21053,23788,27654,26885,27100,27285,28025,29872,31130,31115,32184,33092,35042
21055,34623,32545,32839,34261,33356,35316,38739,41114,43169,45244,46354,45000
21057,28135,29528,29885,31593,30813,32019,33268,35449,32906,35344,35030,34563
21059,42821,44763,45507,46555,45760,45989,46675,48371,49836,51673,54881,57660
21061,35808,35217,35243,37646,42404,41710,41689,41114,41360,43401,44229,41533
21063,22097,25769,24841,24246,28363,28224,27969,29043,33377,32306,36950,36455
21065,28324,28148,28684,29184,29905,29770,29694,30692,31337,31688,32800,36336
21067,47469,48306,48779,48398,48667,49778,50661,53013,54918,57291,58954,61526
21069,31236,31979,32677,32495,33392,35469,36063,41095,42213,44612,42087,48315
21071,27907,28221,29237,30476,30190,30096,30540,31196,31267,32730,35096,37360
21073,47976,47062,47086,46071,46818,47964,50999,53539,55068,56274,59056,59498
21075,31965,34545,36813,33582,32948,28359,26841,28274,28559,30114,31587,33567
21077,41310,45400,43860,43793,48917,48370,51180,50250,50204,52167,55113,54978
21079,37095,40137,44115,44652,44304,44243,46373,47906,49888,52631,55369,58137
